,Image,Labels
1154,train\Moderate\c52bb7343387.png,Moderate
1286,train\Moderate\e65a2ff90494.png,Moderate
2701,train\No_DR\bdf47b9f10c4.png,No_DR
909,train\Moderate\87b1938994b5.png,Moderate
1308,train\Moderate\ea588d1e5d96.png,Moderate
2117,train\No_DR\705f508d1e42.png,No_DR
2483,train\No_DR\a2163f0c2af5.png,No_DR
3107,train\No_DR\f633c474e8b8.png,No_DR
416,train\Moderate\0ca0aee4d57e.png,Moderate
1588,train\No_DR\20f86e068276.png,No_DR
2475,train\No_DR\a1822dd8d05d.png,No_DR
1528,train\No_DR\18b99159a14f.png,No_DR
379,train\Moderate\025a169a0bb0.png,Moderate
324,train\Mild\d66b6f333dc7.png,Mild
1824,train\No_DR\461fa5292fda.png,No_DR
1606,train\No_DR\24de56d433cd.png,No_DR
1771,train\No_DR\3f6bccf21ce8.png,No_DR
1240,train\Moderate\d9a475dfe59a.png,Moderate
1330,train\Moderate\f30f203ef51e.png,Moderate
3093,train\No_DR\f4d3169b468a.png,No_DR
1158,train\Moderate\c5ad60521f8c.png,Moderate
882,train\Moderate\81b0a2651c45.png,Moderate
1882,train\No_DR\4e231670b48c.png,No_DR
1075,train\Moderate\ae8424cdb029.png,Moderate
584,train\Moderate\3246f07e65b4.png,Moderate
2694,train\No_DR\bd06028eb7dd.png,No_DR
1070,train\Moderate\aca88f566228.png,Moderate
2545,train\No_DR\aa4407aab872.png,No_DR
3359,train\Proliferate_DR\9fab29e69a6b.png,Proliferate_DR
220,train\Mild\8ff863f8874f.png,Mild
2189,train\No_DR\7aabd768abff.png,No_DR
3283,train\Proliferate_DR\61e301bd3c25.png,Proliferate_DR
1153,train\Moderate\c4e8b1ec8893.png,Moderate
2692,train\No_DR\bc92a61a1f9c.png,No_DR
1344,train\Moderate\f8372e80f731.png,Moderate
55,train\Mild\25e9fd872182.png,Mild
1789,train\No_DR\41960d5f58c2.png,No_DR
21,train\Mild\0eb52045349f.png,Mild
27,train\Mild\1116271db4ea.png,Mild
3057,train\No_DR\ef99c499d665.png,No_DR
3304,train\Proliferate_DR\6f4719c6bb4b.png,Proliferate_DR
969,train\Moderate\98e8adcf085c.png,Moderate
2308,train\No_DR\8ab3faa3701f.png,No_DR
2431,train\No_DR\9b57e43b44e7.png,No_DR
898,train\Moderate\85fce24084da.png,Moderate
1931,train\No_DR\53ddae6a619e.png,No_DR
985,train\Moderate\9b7b6e4db1d5.png,Moderate
2672,train\No_DR\b963a11638f2.png,No_DR
619,train\Moderate\3dbfbc11e105.png,Moderate
1503,train\No_DR\15c24478ac72.png,No_DR
2494,train\No_DR\a3bd2e034614.png,No_DR
1305,train\Moderate\ea05c22d92e9.png,Moderate
1767,train\No_DR\3dec415b188a.png,No_DR
618,train\Moderate\3d663a6a50a3.png,Moderate
2421,train\No_DR\99c6a123ed6a.png,No_DR
141,train\Mild\5879285f9d8d.png,Mild
2359,train\No_DR\922586d86cd8.png,No_DR
1208,train\Moderate\d1fb4efb117c.png,Moderate
152,train\Mild\6028a575dc27.png,Mild
436,train\Moderate\1269ab57c2e6.png,Moderate
1428,train\No_DR\09934421c79e.png,No_DR
2924,train\No_DR\de55ed25e0e8.png,No_DR
1516,train\No_DR\17d7d6b092f4.png,No_DR
1980,train\No_DR\5b47043942f4.png,No_DR
3113,train\No_DR\f71333204618.png,No_DR
1424,train\No_DR\093cf723fede.png,No_DR
1416,train\No_DR\0851d6a69589.png,No_DR
1833,train\No_DR\4826d10030b3.png,No_DR
3399,train\Proliferate_DR\c3d12a23f451.png,Proliferate_DR
3541,train\Severe\6181aa9f75f4.png,Severe
3506,train\Severe\3435fd8675a2.png,Severe
3479,train\Severe\0dc8d25b3f69.png,Severe
1141,train\Moderate\bfe467b7e997.png,Moderate
792,train\Moderate\663a923d5398.png,Moderate
1552,train\No_DR\1caba2fb38f6.png,No_DR
36,train\Mild\194814669fee.png,Mild
1544,train\No_DR\1b8701231c8f.png,No_DR
2978,train\No_DR\e529c5757d64.png,No_DR
1364,train\Moderate\ff52392372d3.png,Moderate
1754,train\No_DR\3bf2deaa5ef0.png,No_DR
1632,train\No_DR\28dc010a0780.png,No_DR
3059,train\No_DR\f00ce9b9d6f4.png,No_DR
1146,train\Moderate\c261b1aaa828.png,Moderate
2529,train\No_DR\a8aed92940fb.png,No_DR
1637,train\No_DR\2927665214e1.png,No_DR
3210,train\Proliferate_DR\211518c46162.png,Proliferate_DR
472,train\Moderate\1a369baf9ee6.png,Moderate
2357,train\No_DR\91e82fe4e434.png,No_DR
1490,train\No_DR\13073f075a56.png,No_DR
1536,train\No_DR\1a0dbc6c0cda.png,No_DR
290,train\Mild\c102db7634d8.png,Mild
572,train\Moderate\2f5c9cdfb333.png,Moderate
358,train\Mild\f6f7dba7104d.png,Mild
3411,train\Proliferate_DR\d0b132d2c7ec.png,Proliferate_DR
1742,train\No_DR\39f8935185e6.png,No_DR
1705,train\No_DR\348598d01e18.png,No_DR
2237,train\No_DR\810ed108f5b7.png,No_DR
3525,train\Severe\4c60b10a3a6a.png,Severe
1219,train\Moderate\d4be0403e6ab.png,Moderate
2961,train\No_DR\e2ec22b3d07e.png,No_DR
3027,train\No_DR\ec0c9f817b03.png,No_DR
2616,train\No_DR\b16dd4483ca5.png,No_DR
1016,train\Moderate\a1b12fdce6c3.png,Moderate
3356,train\Proliferate_DR\9c72ed6befa0.png,Proliferate_DR
1808,train\No_DR\4409965eb2a4.png,No_DR
2812,train\No_DR\cf8f1bc7a215.png,No_DR
1204,train\Moderate\d18aea8238a0.png,Moderate
2585,train\No_DR\ae57c8630249.png,No_DR
1534,train\No_DR\197af0de76e2.png,No_DR
407,train\Moderate\0a1076183736.png,Moderate
3272,train\Proliferate_DR\5b76117c4bcb.png,Proliferate_DR
2193,train\No_DR\7b691d9ced34.png,No_DR
3609,train\Severe\b3d135bd3bb5.png,Severe
2178,train\No_DR\799214e8b07c.png,No_DR
1814,train\No_DR\44976c3b11a6.png,No_DR
3340,train\Proliferate_DR\8ae049175db6.png,Proliferate_DR
1278,train\Moderate\e3a7671f787b.png,Moderate
608,train\Moderate\3a61e690f4bb.png,Moderate
344,train\Mild\e9ff9352ccb3.png,Mild
1615,train\No_DR\263d8851e33b.png,No_DR
2296,train\No_DR\891329021e12.png,No_DR
1651,train\No_DR\2b5bb6d33959.png,No_DR
136,train\Mild\5777ef74c9ec.png,Mild
3206,train\Proliferate_DR\1efa5d443707.png,Proliferate_DR
3121,train\No_DR\f85c78201a50.png,No_DR
1785,train\No_DR\4145dcb25053.png,No_DR
1459,train\No_DR\0daddc45d832.png,No_DR
229,train\Mild\96a9706b8534.png,Mild
59,train\Mild\28f98cfe3858.png,Mild
1020,train\Moderate\a3475dc3ac80.png,Moderate
2947,train\No_DR\e135d7ba9a0e.png,No_DR
2831,train\No_DR\d26bb2ed6e71.png,No_DR
296,train\Mild\c739ff9580d3.png,Mild
2395,train\No_DR\96ea316ed0ab.png,No_DR
2909,train\No_DR\dc0eea0b68a7.png,No_DR
518,train\Moderate\236f56771ec6.png,Moderate
842,train\Moderate\7663aba8d762.png,Moderate
2454,train\No_DR\9ed6c2b25767.png,No_DR
3293,train\Proliferate_DR\664b1f9a2087.png,Proliferate_DR
2976,train\No_DR\e50b0174690d.png,No_DR
414,train\Moderate\0c76fd494af6.png,Moderate
1711,train\No_DR\356304d15a5c.png,No_DR
3153,train\No_DR\fd0a70082e7c.png,No_DR
1111,train\Moderate\b8f1b30877db.png,Moderate
2419,train\No_DR\999ad827ed35.png,No_DR
3454,train\Proliferate_DR\f1dc26c4bfa3.png,Proliferate_DR
2748,train\No_DR\c56293f53191.png,No_DR
3054,train\No_DR\ef7eb85b75fc.png,No_DR
2165,train\No_DR\77ab222bf85c.png,No_DR
260,train\Mild\ae8472f8d310.png,Mild
149,train\Mild\5b804948e35f.png,Mild
216,train\Mild\8dc22e65c06f.png,Mild
1167,train\Moderate\c7e827fc7f41.png,Moderate
2760,train\No_DR\c64c0966b4cf.png,No_DR
1479,train\No_DR\10de500cf0c5.png,No_DR
2260,train\No_DR\840a06a9c690.png,No_DR
1442,train\No_DR\0b64a0a06f9a.png,No_DR
586,train\Moderate\331b87d1b9d1.png,Moderate
2181,train\No_DR\7a06ea127e02.png,No_DR
3615,train\Severe\bb7e0a2544cd.png,Severe
568,train\Moderate\2d552318eb07.png,Moderate
2381,train\No_DR\94b9ccc73bb9.png,No_DR
3033,train\No_DR\ecb4500285ed.png,No_DR
1383,train\No_DR\0232dfea7547.png,No_DR
1672,train\No_DR\2ef955d6d9ff.png,No_DR
399,train\Moderate\07d8db76b301.png,Moderate
922,train\Moderate\8ab8d9b3ce3f.png,Moderate
1251,train\Moderate\dde43aa22ae6.png,Moderate
52,train\Mild\248139c423c4.png,Mild
241,train\Mild\a2696f444ecb.png,Mild
979,train\Moderate\9a7bd084395e.png,Moderate
2915,train\No_DR\dd02d60bef14.png,No_DR
3434,train\Proliferate_DR\e3ec668f6fad.png,Proliferate_DR
798,train\Moderate\674057ab250c.png,Moderate
1944,train\No_DR\55f7f018c61c.png,No_DR
401,train\Moderate\08c17a2d95b7.png,Moderate
1546,train\No_DR\1c47815f4a6b.png,No_DR
1105,train\Moderate\b746a6681ba9.png,Moderate
1415,train\No_DR\084c02cf077f.png,No_DR
1769,train\No_DR\3f0d3629d69e.png,No_DR
2666,train\No_DR\b86fb2d5be1a.png,No_DR
580,train\Moderate\3128eb593012.png,Moderate
3660,train\Severe\fda39982a810.png,Severe
3473,train\Severe\069f43616fab.png,Severe
2404,train\No_DR\97fdee242fea.png,No_DR
184,train\Mild\756b0d6488bb.png,Mild
1350,train\Moderate\f9ecf1795804.png,Moderate
2598,train\No_DR\af6166d57f13.png,No_DR
2938,train\No_DR\e0313be77035.png,No_DR
223,train\Mild\93be637084a2.png,Mild
29,train\Mild\12ce6a1a1f31.png,Mild
1486,train\No_DR\12ae44be0d38.png,No_DR
2388,train\No_DR\966c07831334.png,No_DR
660,train\Moderate\44f4ae58990e.png,Moderate
24,train\Mild\101b9ebfc720.png,Mild
3573,train\Severe\8a9bef2fbd4e.png,Severe
3519,train\Severe\42cc993f23a9.png,Severe
445,train\Moderate\1438288bb2e1.png,Moderate
1764,train\No_DR\3cdef7c591cc.png,No_DR
3026,train\No_DR\ec01f0862669.png,No_DR
1190,train\Moderate\cca626a0e19a.png,Moderate
1355,train\Moderate\fc1b1841eadf.png,Moderate
3086,train\No_DR\f3bb996b45ce.png,No_DR
1708,train\No_DR\34acae864963.png,No_DR
1319,train\Moderate\ee6e39319b39.png,Moderate
525,train\Moderate\25002fe43f92.png,Moderate
3528,train\Severe\4d9fc85a8259.png,Severe
2158,train\No_DR\76bc31e0d3be.png,No_DR
2304,train\No_DR\8a81f62320d6.png,No_DR
2838,train\No_DR\d2d523e9f669.png,No_DR
2608,train\No_DR\b09101adb478.png,No_DR
2201,train\No_DR\7c6594b50690.png,No_DR
638,train\Moderate\4242c0d87f57.png,Moderate
994,train\Moderate\9dab2e6ba44b.png,Moderate
2214,train\No_DR\7e980424868e.png,No_DR
1860,train\No_DR\4bd5d0b30198.png,No_DR
1386,train\No_DR\02da652c74b8.png,No_DR
3035,train\No_DR\ed2ef440d22c.png,No_DR
3034,train\No_DR\ed2c52c14493.png,No_DR
2232,train\No_DR\80c67efc8101.png,No_DR
1956,train\No_DR\586f5c56081e.png,No_DR
791,train\Moderate\65e530ee2e79.png,Moderate
565,train\Moderate\2cbfc6182ba2.png,Moderate
2717,train\No_DR\bf87aedf2489.png,No_DR
2613,train\No_DR\b0f8613305a3.png,No_DR
2588,train\No_DR\ae61e19fb766.png,No_DR
590,train\Moderate\34723fae6475.png,Moderate
1214,train\Moderate\d364423ec6f9.png,Moderate
2353,train\No_DR\9122b31414d3.png,No_DR
1908,train\No_DR\511fd66b2df8.png,No_DR
936,train\Moderate\8e3b79e1f1f7.png,Moderate
993,train\Moderate\9da74370835a.png,Moderate
2317,train\No_DR\8bf2d925dc0c.png,No_DR
187,train\Mild\77a9538b8362.png,Mild
589,train\Moderate\3428230bf1bd.png,Moderate
349,train\Mild\ee78ce914066.png,Mild
3318,train\Proliferate_DR\7b211d8bd249.png,Proliferate_DR
1112,train\Moderate\b8fb9f55cd6d.png,Moderate
1239,train\Moderate\d994203deb64.png,Moderate
83,train\Mild\382752f6694a.png,Mild
1437,train\No_DR\0ae2dd2e09ea.png,No_DR
1702,train\No_DR\33e7bf536fc5.png,No_DR
2782,train\No_DR\cadde4030858.png,No_DR
1078,train\Moderate\af828dab3ffc.png,Moderate
1582,train\No_DR\1faf8664816c.png,No_DR
2502,train\No_DR\a53d6d2472a6.png,No_DR
2233,train\No_DR\80dbeb0fdc75.png,No_DR
630,train\Moderate\3fd7df6099e3.png,Moderate
917,train\Moderate\89ee1fa16f90.png,Moderate
1748,train\No_DR\3af9aaa880e9.png,No_DR
301,train\Mild\ca1036496659.png,Mild
280,train\Mild\bb783d8e496f.png,Mild
3518,train\Severe\4294a14c656a.png,Severe
1590,train\No_DR\210bfe0127c6.png,No_DR
132,train\Mild\55eac26bd383.png,Mild
336,train\Mild\e25ccfe38e44.png,Mild
1751,train\No_DR\3b2b91590590.png,No_DR
1596,train\No_DR\224c14366e11.png,No_DR
958,train\Moderate\9568eb7e9c08.png,Moderate
3214,train\Proliferate_DR\22895c89792f.png,Proliferate_DR
1834,train\No_DR\484dbeb9bf2a.png,No_DR
292,train\Mild\c1ebe785503a.png,Mild
3412,train\Proliferate_DR\d10ef306996b.png,Proliferate_DR
4,train\Mild\0369f3efe69b.png,Mild
1731,train\No_DR\3823acc4e464.png,No_DR
2931,train\No_DR\dee31065f8fe.png,No_DR
1274,train\Moderate\e2a47a74e6e1.png,Moderate
3173,train\No_DR\ffd97f8cd5aa.png,No_DR
1749,train\No_DR\3b0190bbe615.png,No_DR
2362,train\No_DR\9274e75dc4d5.png,No_DR
3538,train\Severe\5f13e8a07344.png,Severe
2465,train\No_DR\a07d571bf7ba.png,No_DR
1188,train\Moderate\cc1eebed9276.png,Moderate
1003,train\Moderate\a015ce4f51ad.png,Moderate
2949,train\No_DR\e16af45285e5.png,No_DR
146,train\Mild\5b068765e846.png,Mild
361,train\Mild\f7fec8935126.png,Mild
3273,train\Proliferate_DR\5bda2ed09e62.png,Proliferate_DR
2565,train\No_DR\ac0a48ccbf70.png,No_DR
3369,train\Proliferate_DR\a81b06f50612.png,Proliferate_DR
1962,train\No_DR\58f07741ee3b.png,No_DR
2775,train\No_DR\c97472ef2c66.png,No_DR
581,train\Moderate\31452ad8808c.png,Moderate
3244,train\Proliferate_DR\3c78bfca247b.png,Proliferate_DR
2147,train\No_DR\757e39293591.png,No_DR
2840,train\No_DR\d2fb715b0c41.png,No_DR
2254,train\No_DR\837acf120946.png,No_DR
2773,train\No_DR\c947bb6cf9f6.png,No_DR
1911,train\No_DR\51aa3361294c.png,No_DR
1053,train\Moderate\a93f1ea3ff4a.png,Moderate
1135,train\Moderate\bf1b7e21e774.png,Moderate
1269,train\Moderate\e1e490773462.png,Moderate
2366,train\No_DR\92fcf50b3562.png,No_DR
1057,train\Moderate\aa0afc41ed19.png,Moderate
1701,train\No_DR\33d72035c27a.png,No_DR
1409,train\No_DR\0790515cf5af.png,No_DR
2313,train\No_DR\8b58f9a338e8.png,No_DR
751,train\Moderate\59ee65760535.png,Moderate
532,train\Moderate\269f0792f11f.png,Moderate
3441,train\Proliferate_DR\e9ab8413e771.png,Proliferate_DR
982,train\Moderate\9b0eb9f41da4.png,Moderate
2329,train\No_DR\8e67f2d7e0ee.png,No_DR
1631,train\No_DR\289a47dcbb82.png,No_DR
2273,train\No_DR\8650d32f4a9e.png,No_DR
1863,train\No_DR\4c389d033cb0.png,No_DR
109,train\Mild\4d7d6928534a.png,Mild
2806,train\No_DR\ce754234d760.png,No_DR
2779,train\No_DR\ca05f7e7801b.png,No_DR
452,train\Moderate\157d17349cc6.png,Moderate
2693,train\No_DR\bcb0498ed2c1.png,No_DR
2618,train\No_DR\b200c23b299b.png,No_DR
3212,train\Proliferate_DR\21d18b022429.png,Proliferate_DR
3468,train\Proliferate_DR\ff8a0b45c789.png,Proliferate_DR
1035,train\Moderate\a62ea0043aa7.png,Moderate
1853,train\No_DR\4aa3d771c5e4.png,No_DR
1327,train\Moderate\f2094a20b275.png,Moderate
863,train\Moderate\7c2f820a6425.png,Moderate
719,train\Moderate\52230bbef30e.png,Moderate
549,train\Moderate\2967e578939f.png,Moderate
978,train\Moderate\9a78c6a7b1c2.png,Moderate
2280,train\No_DR\874f8c1929f6.png,No_DR
2661,train\No_DR\b7f0bc7d399e.png,No_DR
1017,train\Moderate\a21b37719f9b.png,Moderate
2499,train\No_DR\a484bdf85b4c.png,No_DR
473,train\Moderate\1ade1e949383.png,Moderate
3183,train\Proliferate_DR\080ee76c958c.png,Proliferate_DR
2633,train\No_DR\b5204c0decc7.png,No_DR
2323,train\No_DR\8d4d14a4ab07.png,No_DR
3601,train\Severe\ad2f0b9d059c.png,Severe
2943,train\No_DR\e087bd4b88f2.png,No_DR
2410,train\No_DR\98d41bce73a8.png,No_DR
2427,train\No_DR\9ac2e3e9fca5.png,No_DR
1569,train\No_DR\1e036f2e7095.png,No_DR
2832,train\No_DR\d26bc6e1230d.png,No_DR
3617,train\Severe\bf8092e4001d.png,Severe
1920,train\No_DR\5293576816aa.png,No_DR
672,train\Moderate\47b756014447.png,Moderate
2785,train\No_DR\cb0cc98d7e35.png,No_DR
3233,train\Proliferate_DR\374535e0adb8.png,Proliferate_DR
2370,train\No_DR\936299166bea.png,No_DR
314,train\Mild\cf0575534cec.png,Mild
838,train\Moderate\7550966ef777.png,Moderate
582,train\Moderate\314862758acf.png,Moderate
596,train\Moderate\36ec36c301c1.png,Moderate
822,train\Moderate\6e68e742f5bc.png,Moderate
291,train\Mild\c1e6fa1ad314.png,Mild
1604,train\No_DR\242fc19be06f.png,No_DR
2148,train\No_DR\75a071608ea6.png,No_DR
2854,train\No_DR\d57d1be1bbd1.png,No_DR
650,train\Moderate\43ddd0ab0cc4.png,Moderate
264,train\Mild\b17f0b81dab3.png,Mild
520,train\Moderate\239f2c348ea4.png,Moderate
2074,train\No_DR\6b30767595d8.png,No_DR
2467,train\No_DR\a07efb1ecfc0.png,No_DR
2091,train\No_DR\6cee2e148520.png,No_DR
1032,train\Moderate\a505981d1cab.png,Moderate
3656,train\Severe\f901d460517c.png,Severe
2020,train\No_DR\61c667663f2f.png,No_DR
1998,train\No_DR\5db2e3a4594a.png,No_DR
2503,train\No_DR\a5bb85afc6e8.png,No_DR
1025,train\Moderate\a3b2e93d058b.png,Moderate
171,train\Mild\6b07971c3bf6.png,Mild
1898,train\No_DR\504a69096fcb.png,No_DR
128,train\Mild\53704c80f0d8.png,Mild
44,train\Mild\1d11794057ff.png,Mild
3425,train\Proliferate_DR\df4913ca3712.png,Proliferate_DR
3462,train\Proliferate_DR\f850cb51fdba.png,Proliferate_DR
1332,train\Moderate\f3a88d3026dc.png,Moderate
3221,train\Proliferate_DR\26463a5fb949.png,Proliferate_DR
441,train\Moderate\13d71389563f.png,Moderate
3383,train\Proliferate_DR\b99afe7137fb.png,Proliferate_DR
1326,train\Moderate\f1a761c68559.png,Moderate
13,train\Mild\086d41d17da8.png,Mild
901,train\Moderate\86b3a7929bec.png,Moderate
1241,train\Moderate\d9bbdc33db83.png,Moderate
2620,train\No_DR\b22cc1bf0b8a.png,No_DR
1983,train\No_DR\5baed382f062.png,No_DR
2417,train\No_DR\996f9bba4ef0.png,No_DR
1968,train\No_DR\59bd19c1c5bb.png,No_DR
2182,train\No_DR\7a12f49e29df.png,No_DR
1638,train\No_DR\2974c6ad1d58.png,No_DR
2835,train\No_DR\d2afca74cbc3.png,No_DR
2979,train\No_DR\e582e56e7942.png,No_DR
1765,train\No_DR\3ce2f8a77a32.png,No_DR
127,train\Mild\5347b4c8e9b3.png,Mild
3000,train\No_DR\e82232a3c28b.png,No_DR
1700,train\No_DR\33b978734eab.png,No_DR
2505,train\No_DR\a627eb8c08c5.png,No_DR
783,train\Moderate\6363b360aefb.png,Moderate
1147,train\Moderate\c280730cc211.png,Moderate
1693,train\No_DR\32ed318235b8.png,No_DR
657,train\Moderate\44c869174e3a.png,Moderate
3435,train\Proliferate_DR\e4730ddde408.png,Proliferate_DR
69,train\Mild\3044022c6969.png,Mild
2166,train\No_DR\77acc2cafee1.png,No_DR
279,train\Mild\bb45257258cc.png,Mild
871,train\Moderate\7e6e90a93aa5.png,Moderate
3250,train\Proliferate_DR\4462fba1d2a1.png,Proliferate_DR
2439,train\No_DR\9c514d2d5b3f.png,No_DR
647,train\Moderate\437900a99871.png,Moderate
3370,train\Proliferate_DR\aa6673241154.png,Proliferate_DR
3400,train\Proliferate_DR\c5e238aa18be.png,Proliferate_DR
1027,train\Moderate\a45d77edf8d9.png,Moderate
2429,train\No_DR\9ae54843c69a.png,No_DR
2496,train\No_DR\a419fcb2dfb5.png,No_DR
1793,train\No_DR\4276b82e4489.png,No_DR
918,train\Moderate\89fc080f7e83.png,Moderate
1391,train\No_DR\04aef84a2cc1.png,No_DR
488,train\Moderate\1db18bdd43aa.png,Moderate
673,train\Moderate\47e51065b819.png,Moderate
1981,train\No_DR\5b994ff78547.png,No_DR
1855,train\No_DR\4ad8d3ec8789.png,No_DR
700,train\Moderate\4e7694eebb91.png,Moderate
1992,train\No_DR\5ce5eeaf757a.png,No_DR
2955,train\No_DR\e246cd89e1cc.png,No_DR
1729,train\No_DR\3732de8b416f.png,No_DR
3495,train\Severe\25b0e72705a8.png,Severe
3390,train\Proliferate_DR\bd5013540a13.png,Proliferate_DR
3341,train\Proliferate_DR\8af6a4e5396f.png,Proliferate_DR
1977,train\No_DR\5b2648ad455e.png,No_DR
2163,train\No_DR\76f3473df8a6.png,No_DR
3089,train\No_DR\f451eee2b66b.png,No_DR
945,train\Moderate\917f76f360b6.png,Moderate
2689,train\No_DR\bc34f52c37c7.png,No_DR
2355,train\No_DR\916915f01e17.png,No_DR
1043,train\Moderate\a7b0d0c51731.png,Moderate
2797,train\No_DR\cd01f4f83336.png,No_DR
3531,train\Severe\4fecf87184e6.png,Severe
1678,train\No_DR\2fefb720869a.png,No_DR
1613,train\No_DR\25b4080f598b.png,No_DR
3251,train\Proliferate_DR\44ecf3f4efa5.png,Proliferate_DR
3638,train\Severe\e0b5a982a018.png,Severe
3188,train\Proliferate_DR\0bf37ca3156a.png,Proliferate_DR
364,train\Mild\fd62bd0db4f1.png,Mild
670,train\Moderate\46f56c38051f.png,Moderate
2050,train\No_DR\6653ad026901.png,No_DR
852,train\Moderate\7877be80901c.png,Moderate
1848,train\No_DR\4a1afe4044f4.png,No_DR
2771,train\No_DR\c85b79d70079.png,No_DR
2908,train\No_DR\db6207e62c7b.png,No_DR
2981,train\No_DR\e59c5f345bb0.png,No_DR
2595,train\No_DR\aeccef0bdc26.png,No_DR
1803,train\No_DR\43823561c3f0.png,No_DR
2036,train\No_DR\64c6c6ee0d98.png,No_DR
629,train\Moderate\3fc219927a97.png,Moderate
3657,train\Severe\f9156aeffc5e.png,Severe
3547,train\Severe\6b128e648646.png,Severe
7,train\Mild\059bc89df7f4.png,Mild
1583,train\No_DR\1fb455685328.png,No_DR
2314,train\No_DR\8b8fe3fc8950.png,No_DR
1377,train\No_DR\0182152c50de.png,No_DR
2001,train\No_DR\5e505e25cd3e.png,No_DR
3343,train\Proliferate_DR\8bed09514c3b.png,Proliferate_DR
2430,train\No_DR\9b4fc15df3c8.png,No_DR
610,train\Moderate\3b58b02c89ed.png,Moderate
2086,train\No_DR\6c4ec95dd8ba.png,No_DR
371,train\Moderate\00a8624548a9.png,Moderate
3259,train\Proliferate_DR\4abca30b676b.png,Proliferate_DR
1504,train\No_DR\15e24b73d4a7.png,No_DR
686,train\Moderate\4a558a1cd243.png,Moderate
209,train\Mild\89d9c071a56f.png,Mild
1896,train\No_DR\500aad15b7c8.png,No_DR
1400,train\No_DR\05e9126dfa5c.png,No_DR
139,train\Mild\582115961a3d.png,Mild
3504,train\Severe\3218a6d8eb2c.png,Severe
2376,train\No_DR\94145d1f42cf.png,No_DR
758,train\Moderate\5b301a6d1ac7.png,Moderate
1905,train\No_DR\50d8249f7bc9.png,No_DR
2387,train\No_DR\962c0fc85e13.png,No_DR
1411,train\No_DR\07a2b8cabf6b.png,No_DR
1165,train\Moderate\c73c5f6ef664.png,Moderate
755,train\Moderate\5a2c27b95c7c.png,Moderate
3445,train\Proliferate_DR\ebe0175e530c.png,Proliferate_DR
3545,train\Severe\697538183db5.png,Severe
1699,train\No_DR\33b91def2035.png,No_DR
1323,train\Moderate\f0800723bc63.png,Moderate
82,train\Mild\36677b70b1ef.png,Mild
3322,train\Proliferate_DR\7cc4b7aabe04.png,Proliferate_DR
325,train\Mild\d66ccb75ada1.png,Mild
516,train\Moderate\232549883508.png,Moderate
694,train\Moderate\4d009cebabc9.png,Moderate
3361,train\Proliferate_DR\a11bf2edd470.png,Proliferate_DR
2292,train\No_DR\885fa5fc5da8.png,No_DR
2948,train\No_DR\e160a3b19911.png,No_DR
2062,train\No_DR\68ddb15a74de.png,No_DR
310,train\Mild\cc12453ea915.png,Mild
2235,train\No_DR\80ed04a84a16.png,No_DR
856,train\Moderate\79540be95177.png,Moderate
2064,train\No_DR\692e946b1f85.png,No_DR
2279,train\No_DR\87295c5fa1cc.png,No_DR
801,train\Moderate\6810410187a0.png,Moderate
2710,train\No_DR\bebfbd907cac.png,No_DR
1783,train\No_DR\41345cec5957.png,No_DR
2867,train\No_DR\d74ccc796517.png,No_DR
201,train\Mild\821789e9053f.png,Mild
2259,train\No_DR\83fda7c0500b.png,No_DR
735,train\Moderate\54dc6e8107cd.png,Moderate
1095,train\Moderate\b402b18d99a5.png,Moderate
1259,train\Moderate\e03e70bc8bba.png,Moderate
1589,train\No_DR\21037f5c7790.png,No_DR
3382,train\Proliferate_DR\b96b518596b3.png,Proliferate_DR
2459,train\No_DR\9fa02dfb5553.png,No_DR
2153,train\No_DR\7635921c5efb.png,No_DR
3607,train\Severe\b2ffa3e18559.png,Severe
1374,train\No_DR\0125fbd2e791.png,No_DR
1291,train\Moderate\e6f0ce5bf282.png,Moderate
1022,train\Moderate\a3802934bad7.png,Moderate
966,train\Moderate\97bf61736b86.png,Moderate
916,train\Moderate\89d2a7403a06.png,Moderate
851,train\Moderate\77f69c7ff324.png,Moderate
1458,train\No_DR\0da632ca45e0.png,No_DR
2054,train\No_DR\675de69373f8.png,No_DR
1958,train\No_DR\58a9e0d7f7af.png,No_DR
2002,train\No_DR\5e5275ddee29.png,No_DR
1129,train\Moderate\bda8c973b09d.png,Moderate
2852,train\No_DR\d51e5d7484ea.png,No_DR
1343,train\Moderate\f80118bbda18.png,Moderate
178,train\Mild\71c1a3cdbe47.png,Mild
2047,train\No_DR\66366a90d1ef.png,No_DR
1144,train\Moderate\c1c8550508e0.png,Moderate
1221,train\Moderate\d6228d951958.png,Moderate
688,train\Moderate\4b1001050f1d.png,Moderate
3642,train\Severe\e1fb532f55df.png,Severe
3144,train\No_DR\fbdc796290d4.png,No_DR
1197,train\Moderate\ceaa5803d780.png,Moderate
321,train\Mild\d4f32b9c07df.png,Mild
2493,train\No_DR\a384e688e228.png,No_DR
1873,train\No_DR\4cfd22ae43d4.png,No_DR
266,train\Mild\b4f41b5bf0ef.png,Mild
3301,train\Proliferate_DR\6d7d26025122.png,Proliferate_DR
1445,train\No_DR\0c38940e1f80.png,No_DR
288,train\Mild\c0e15e8e2b46.png,Mild
777,train\Moderate\61c2fbd16e38.png,Moderate
3602,train\Severe\adb56cecafaf.png,Severe
227,train\Mild\94b1d8ad35ec.png,Mild
1949,train\No_DR\573ea80a53be.png,No_DR
